# p_value  q_mean  sample  logical_failures
0.006 0.10 1 377
0.006 0.10 2 406
0.006 0.10 3 359
0.006 0.10 4 393
0.006 0.10 5 336
0.006 0.10 6 579
0.006 0.10 7 507
0.006 0.10 8 481
0.006 0.10 9 346
0.006 0.10 10 425
0.006 0.10 11 345
0.006 0.10 12 426
0.006 0.10 13 350
0.006 0.10 14 396
0.006 0.10 15 390
0.006 0.10 16 358
0.006 0.10 17 413
0.006 0.10 18 298
0.006 0.10 19 446
0.006 0.10 20 460
0.006 0.10 21 501
0.006 0.10 22 379
0.006 0.10 23 541
0.006 0.10 24 456
0.006 0.10 25 441
0.006 0.10 26 649
0.006 0.10 27 345
0.006 0.10 28 457
0.006 0.10 29 446
0.006 0.10 30 444
0.006 0.10 31 415
0.006 0.10 32 353
0.006 0.10 33 453
0.006 0.10 34 495
0.006 0.10 35 381
0.006 0.10 36 590
0.006 0.10 37 346
0.006 0.10 38 445
0.006 0.10 39 533
0.006 0.10 40 487
0.006 0.10 41 499
0.006 0.10 42 439
0.006 0.10 43 352
0.006 0.10 44 363
0.006 0.10 45 463
0.006 0.10 46 352
0.006 0.10 47 377
0.006 0.10 48 500
0.006 0.10 49 464
0.006 0.10 50 473
0.006 0.10 51 346
0.006 0.10 52 439
0.006 0.10 53 382
0.006 0.10 54 447
0.006 0.10 55 473
0.006 0.10 56 413
